num,date,review,rating,like
154,2021년 04월 13일,엘포인트 앱 업뎃되고나서 롯데on 롯데마트 들어갈때마다 로그아웃되어있는데 왜그런가요.자동로그인해놔도 들어갈때마다 롯데온 로그인해야함,2,5
155,2021년 04월 13일,쿠폰이 자꾸 들어와서 중독됨,3,
156,2021년 04월 13일,엄청 편해요 이런 저런 행사도 많습니다,5,
157,2021년 04월 13일,오류 없이 잘 되네요~ 잘 쓸께요.,3,
158,2021년 04월 13일,"가성비, 가심비 제품 많아요.",3,
159,2021년 04월 13일,"처음으로 써봤는데, 앱 쓰기는 편하고… 배송도 바로 오네요.",4,
160,2021년 04월 12일,명품 가격 실화? 여기가 제일 싼 듯,3,
161,2021년 04월 12일,' ',4,
162,2021년 04월 12일,상품 클릭하면 자동연결하게 개선바람,1,
163,2021년 04월 12일,앱 디자인이 깔끔해서 좋아요.,3,
164,2021년 04월 12일,쿠폰이 자꾸 들어와서 중독됨,3,
165,2021년 04월 12일,무슨 어플이 인증이 안돼 ㅡㅡ,1,
166,2021년 04월 12일,저는 앱 오류없고 깔끔해요,5,
167,2021년 04월 12일,"오늘 처음 써봤는데, 괜찮네요.",4,
168,2021년 04월 12일,"아주 자주 사용하고 있어요, 잘 쓸께요.",5,
169,2021년 04월 12일,롭스에서만 사는데 이제 매장안가고 롯데온 어플로 사요~!! 너무 편하고 좋습니다,5,
170,2021년 04월 12일,쇼핑하기 편해요. 제품 질이 좋아요,4,
171,2021년 04월 12일,이거저거 다 살 수 있어서 만족합니다.,3,
172,2021년 04월 12일,샀던 제품 재주문하기 편리합니다.,4,
173,2021년 04월 12일,에어팟 득템햇어요~~ 감사합니다 롯데온,5,
174,2021년 04월 11일,"결제 할인이 정말 많이 됨, 후회 안함",3,
175,2021년 04월 11일,빠른배송 감사감사,5,
176,2021년 04월 11일,배송 빠름,4,
177,2021년 04월 11일,백화점~ 마트~ 슈퍼~ 롭스~ 하이마트~ 다 있네요!!!! 만족합니다,5,
178,2021년 04월 11일,좋아요,4,
179,2021년 04월 11일,하하,1,
